CommentTextDisplay	cleanComment	Sentiment
First comment at midnight. 😳	first comment midnight	0
Ty looked epic and acted cool but losed miserably	ty look epic act cool lose miser	-1
That chad the editor	chad editor	0
Tyler is always the 'Rage Monster'	tyler alway rage monster	-1
How is Coby's so low	cobi low	0
DO SOME HOVERBOARD TRICK SHOTS	hoverboard trick shot	0
Do the part 2	part 2	0
Those are all good bottle flip challenges.	good bottl flip challeng	1
If i do that kind thing my mother will no live me  how can you do that it is so hard	kind thing mother live hard	0
The rage monster 3:09	rage monster 309	-1
I have to pay it off to the world's best trick shot guya	pay world best trick shot guya	1
My favorite trick was the key one	favorit trick key one	1
You		0
(0:56) one of your dudes r missing	056 one dude r miss	-1
Lol,  he broke the couch when it's his grandmothers	lol broke couch grandmoth	1
Bring back the beard!	bring back beard	0
you guys are awesome bros and i liked your video subscribed and turn on notifcations	guy awesom bro like video subscrib turn notifc	1
this fidget spinner thing is getting out of hand	fidget spinner thing get hand	0
Look at him...he would be the real gambit probably🙀	look himh would real gambit probabl	0
I hope they do another one this year	hope anoth one year	1
have you guys herd of Dude Decent. They are like you... but descent.	guy herd dude decent like descent	1
How does the computer even work, there's no plug?	comput even work there plug	-1
i love the coaster	love coaster	1
Every one go to xProMvz channel and like at the video that has 4K likes he will make a face reveal when he get 5k like please go like it	everi one go xpromvz channel like video 4k like make face reveal get 5k like pleas go like	1
Whos still washing this in 2019?	who still wash 2019	0
My favorite flip was the golf ti flip	favorit flip golf ti flip	1
It looks cooler if you don’t say the name of the shot	look cooler dont say name shot	0
coby is my friend	cobi friend	1
If u want to ba a good thrower then say go..go..power rangers...	u want ba good thrower say gogopow ranger	1
Greek Anonymous the solution is sandals	greek anonym solut sandal	1
also flip a table and a 📱	also flip tabl	0
i need the plane	need plane	0
I wonder how long it usually takes them to make one of these videos😂😂😂	wonder long usual take make one video	0
you cheating becose rim has throw a master card not a card to broke the bottle	cheat becos rim throw master card card broke bottl	-1
Cats:meow  Dogs:woof  Dude Perfect: YEAHHHH!!!!	catsmeow dogswoof dude perfect yeahhhh	1
you guys should atlas try to flip Tyler	guy atla tri flip tyler	0
I want an iphone X	want iphon x	1
